regio,telepulestipus,lakastipus,idoszak,atlagár_mFt
Ország,községek,Használt lakások,2021. II.,12.5
Ország,községek,Használt lakások,2021. III.,11.9
Ország,községek,Használt lakások,2021. IV.,12.4
Ország,községek,Használt lakások,2022. I.,15.3
Ország,községek,Használt lakások,2022. II.,14.7
Ország,községek,Használt lakások,2022. III.,13.4
Ország,községek,Használt lakások,2022. IV.,12.6
Ország,községek,Használt lakások,2023. I.,14.1
Ország,községek,Használt lakások,2023. II.,14.6
Ország,községek,Használt lakások,2023. III.,14.7
Ország,községek,Használt lakások,2023. IV.,15.9
Ország,községek,Használt lakások,2024. I.,19.5
Ország,községek,Használt lakások,2024. II.,19.4
Ország,községek,Használt lakások,2024. III.,18.6
Ország,községek,Használt lakások,2024. IV.,20.5
Ország,községek,Használt lakások,2025. I.,21.6
Ország,községek,Használt lakások,2025. II.,21
Ország,községek,Használt lakások,2025. III.,23.1
Ország,községek,Használt lakások,2025. IV.,26.3
Ország,összesen,Használt lakások,2021. I.,23.3
Ország,összesen,Használt lakások,2021. II.,23
Ország,összesen,Használt lakások,2021. III.,22.5
Ország,összesen,Használt lakások,2021. IV.,24.4
Ország,összesen,Használt lakások,2022. I.,28.5
Ország,összesen,Használt lakások,2022. II.,28
Ország,összesen,Használt lakások,2022. III.,26.9
Ország,összesen,Használt lakások,2022. IV.,26
Ország,összesen,Használt lakások,2023. I.,28.9
Ország,összesen,Használt lakások,2023. II.,29
Ország,összesen,Használt lakások,2023. III.,28.9
Ország,összesen,Használt lakások,2023. IV.,31.4
Ország,összesen,Használt lakások,2024. I.,34.9
Ország,összesen,Használt lakások,2024. II.,35.3
Ország,összesen,Használt lakások,2024. III.,34.5
Ország,összesen,Használt lakások,2024. IV.,37.1
Ország,összesen,Használt lakások,2025. I.,39.9
Ország,összesen,Használt lakások,2025. II.,38.9
Ország,összesen,Használt lakások,2025. III.,41.1
Ország,összesen,Használt lakások,2025. IV.,45.1
Budapest,főváros,Új lakások,2021. I.,51.8
Budapest,főváros,Új lakások,2021. II.,53.5
Budapest,főváros,Új lakások,2021. III.,56.5
Budapest,főváros,Új lakások,2021. IV.,57.7
Budapest,főváros,Új lakások,2022. I.,64.8
Budapest,főváros,Új lakások,2022. II.,60
Budapest,főváros,Új lakások,2022. III.,60.5
Budapest,főváros,Új lakások,2022. IV.,66.9
Budapest,főváros,Új lakások,2023. I.,72.4
Budapest,főváros,Új lakások,2023. II.,79.5
Budapest,főváros,Új lakások,2023. III.,64.5
Budapest,főváros,Új lakások,2023. IV.,70.4
Budapest,főváros,Új lakások,2024. I.,83.9
Budapest,főváros,Új lakások,2024. II.,80.5
Budapest,főváros,Új lakások,2024. III.,73.3
Budapest,főváros,Új lakások,2024. IV.,84.1
Budapest,főváros,Új lakások,2025. I.,90.4
Budapest,főváros,Új lakások,2025. II.,102.2
Budapest,főváros,Új lakások,2025. III.,94.5
Budapest,főváros,Új lakások,2025. IV.,91.9
Pest,városok,Új lakások,2021. I.,48.7
Pest,városok,Új lakások,2021. II.,53.4
Pest,városok,Új lakások,2021. III.,55.1
Pest,városok,Új lakások,2021. IV.,60.9
Pest,városok,Új lakások,2022. I.,66.3
Pest,városok,Új lakások,2022. II.,67.5
Pest,városok,Új lakások,2022. III.,61.9
Pest,városok,Új lakások,2022. IV.,72
Pest,városok,Új lakások,2023. I.,67.3
Pest,városok,Új lakások,2023. II.,72.9
Pest,városok,Új lakások,2023. III.,63.8
Pest,városok,Új lakások,2023. IV.,62.6
Pest,városok,Új lakások,2024. I.,74.8
Pest,városok,Új lakások,2024. II.,73.2
Pest,városok,Új lakások,2024. III.,70.1
Pest,városok,Új lakások,2024. IV.,64.3
Pest,városok,Új lakások,2025. I.,77.3
Pest,városok,Új lakások,2025. II.,86.6
Pest,városok,Új lakások,2025. III.,79.9
Pest,városok,Új lakások,2025. IV.,84.8
Pest,községek,Új lakások,2021. I.,49
Pest,községek,Új lakások,2021. II.,54.1
Pest,községek,Új lakások,2021. III.,..
Pest,községek,Új lakások,2021. IV.,..
Pest,községek,Új lakások,2022. I.,67.6
Pest,községek,Új lakások,2022. II.,68.9
Pest,községek,Új lakások,2022. III.,..
Pest,községek,Új lakások,2022. IV.,..
Pest,községek,Új lakások,2023. I.,72.9
Pest,községek,Új lakások,2023. II.,71.7
Pest,községek,Új lakások,2023. III.,..
Pest,községek,Új lakások,2023. IV.,..
Pest,községek,Új lakások,2024. I.,72.5
Pest,községek,Új lakások,2024. II.,75.4
Pest,községek,Új lakások,2024. III.,..
Pest,községek,Új lakások,2024. IV.,..
Pest,községek,Új lakások,2025. I.,78.5
Pest,községek,Új lakások,2025. II.,85.4
Pest,községek,Új lakások,2025. III.,89.4
Pest,községek,Új lakások,2025. IV.,..
Pest,együtt,Új lakások,2021. I.,48.7
Pest,együtt,Új lakások,2021. II.,53.5
Pest,együtt,Új lakások,2021. III.,56.3
Pest,együtt,Új lakások,2021. IV.,61.2
Pest,együtt,Új lakások,2022. I.,66.8
Pest,együtt,Új lakások,2022. II.,67.9
Pest,együtt,Új lakások,2022. III.,65.2
Pest,együtt,Új lakások,2022. IV.,73.9
Pest,együtt,Új lakások,2023. I.,68.6
Pest,együtt,Új lakások,2023. II.,72.6
Pest,együtt,Új lakások,2023. III.,65.7
Pest,együtt,Új lakások,2023. IV.,65.2
Pest,együtt,Új lakások,2024. I.,74.2
Pest,együtt,Új lakások,2024. II.,73.8
Pest,együtt,Új lakások,2024. III.,75
Pest,együtt,Új lakások,2024. IV.,66.5
Pest,együtt,Új lakások,2025. I.,77.6
Pest,együtt,Új lakások,2025. II.,86.3
Pest,együtt,Új lakások,2025. III.,82.1
Pest,együtt,Új lakások,2025. IV.,83.8
Közép-Dunántúl,vármegyeszékhely,Új lakások,2021. I.,41
Közép-Dunántúl,vármegyeszékhely,Új lakások,2021. II.,37.9
Közép-Dunántúl,vármegyeszékhely,Új lakások,2021. III.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2021. IV.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2022. I.,53.8
Közép-Dunántúl,vármegyeszékhely,Új lakások,2022. II.,43.8
Közép-Dunántúl,vármegyeszékhely,Új lakások,2022. III.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2022. IV.,55.6
Közép-Dunántúl,vármegyeszékhely,Új lakások,2023. I.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2023. II.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2023. III.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2023. IV.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2024. I.,59.9
Közép-Dunántúl,vármegyeszékhely,Új lakások,2024. II.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2024. III.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2024. IV.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2025. I.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2025. II.,..
Közép-Dunántúl,vármegyeszékhely,Új lakások,2025. III.,66.3
Közép-Dunántúl,vármegyeszékhely,Új lakások,2025. IV.,69
Közép-Dunántúl,városok,Új lakások,2021. I.,42.4
Közép-Dunántúl,városok,Új lakások,2021. II.,36
Közép-Dunántúl,városok,Új lakások,2021. III.,..
Közép-Dunántúl,városok,Új lakások,2021. IV.,..
Közép-Dunántúl,városok,Új lakások,2022. I.,46.8
Közép-Dunántúl,városok,Új lakások,2022. II.,40.7
Közép-Dunántúl,városok,Új lakások,2022. III.,39.3
Közép-Dunántúl,városok,Új lakások,2022. IV.,..
Közép-Dunántúl,városok,Új lakások,2023. I.,..
Közép-Dunántúl,városok,Új lakások,2023. II.,..
Közép-Dunántúl,városok,Új lakások,2023. III.,..
Közép-Dunántúl,városok,Új lakások,2023. IV.,..
Közép-Dunántúl,városok,Új lakások,2024. I.,..
Közép-Dunántúl,városok,Új lakások,2024. II.,..
Közép-Dunántúl,városok,Új lakások,2024. III.,..
Közép-Dunántúl,városok,Új lakások,2024. IV.,..
Közép-Dunántúl,városok,Új lakások,2025. I.,62.8
Közép-Dunántúl,városok,Új lakások,2025. II.,..
Közép-Dunántúl,városok,Új lakások,2025. III.,..
Közép-Dunántúl,városok,Új lakások,2025. IV.,..
Közép-Dunántúl,községek,Új lakások,2021. I.,..
Közép-Dunántúl,községek,Új lakások,2021. II.,..
Közép-Dunántúl,községek,Új lakások,2021. III.,..
Közép-Dunántúl,községek,Új lakások,2021. IV.,..
Közép-Dunántúl,községek,Új lakások,2022. I.,..
Közép-Dunántúl,községek,Új lakások,2022. II.,..
Közép-Dunántúl,községek,Új lakások,2022. III.,..
Közép-Dunántúl,községek,Új lakások,2022. IV.,..
Közép-Dunántúl,községek,Új lakások,2023. I.,..
Közép-Dunántúl,községek,Új lakások,2023. II.,..
Közép-Dunántúl,községek,Új lakások,2023. III.,..
Közép-Dunántúl,községek,Új lakások,2023. IV.,..
Közép-Dunántúl,községek,Új lakások,2024. I.,..
Közép-Dunántúl,községek,Új lakások,2024. II.,..
Közép-Dunántúl,községek,Új lakások,2024. III.,..
Közép-Dunántúl,községek,Új lakások,2024. IV.,..
Közép-Dunántúl,községek,Új lakások,2025. I.,..
Közép-Dunántúl,községek,Új lakások,2025. II.,..
Közép-Dunántúl,községek,Új lakások,2025. III.,..
Közép-Dunántúl,községek,Új lakások,2025. IV.,..
Közép-Dunántúl,együtt,Új lakások,2021. I.,41.2
Közép-Dunántúl,együtt,Új lakások,2021. II.,38
Közép-Dunántúl,együtt,Új lakások,2021. III.,46.5
Közép-Dunántúl,együtt,Új lakások,2021. IV.,43
Közép-Dunántúl,együtt,Új lakások,2022. I.,51.8
Közép-Dunántúl,együtt,Új lakások,2022. II.,43.9
Közép-Dunántúl,együtt,Új lakások,2022. III.,45
Közép-Dunántúl,együtt,Új lakások,2022. IV.,48.5
Közép-Dunántúl,együtt,Új lakások,2023. I.,56
Közép-Dunántúl,együtt,Új lakások,2023. II.,63.1
Közép-Dunántúl,együtt,Új lakások,2023. III.,64.8
Közép-Dunántúl,együtt,Új lakások,2023. IV.,59
Közép-Dunántúl,együtt,Új lakások,2024. I.,63.8
Közép-Dunántúl,együtt,Új lakások,2024. II.,61.5
Közép-Dunántúl,együtt,Új lakások,2024. III.,61
Közép-Dunántúl,együtt,Új lakások,2024. IV.,69.5
Közép-Dunántúl,együtt,Új lakások,2025. I.,71.5
Közép-Dunántúl,együtt,Új lakások,2025. II.,71
Közép-Dunántúl,együtt,Új lakások,2025. III.,69.6
Közép-Dunántúl,együtt,Új lakások,2025. IV.,76.3
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2021. I.,30.5
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2021. II.,29.8
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2021. III.,30.1
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2021. IV.,32.3
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2022. I.,41
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2022. II.,38.2
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2022. III.,33
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2022. IV.,..
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2023. I.,40.5
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2023. II.,41.4
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2023. III.,41.2
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2023. IV.,43.7
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2024. I.,43.3
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2024. II.,54.4
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2024. III.,..
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2024. IV.,52.2
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2025. I.,51.8
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2025. II.,60
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2025. III.,54.3
Nyugat-Dunántúl,vármegyeszékhely,Új lakások,2025. IV.,..
Nyugat-Dunántúl,városok,Új lakások,2021. I.,28.9
Nyugat-Dunántúl,városok,Új lakások,2021. II.,31
Nyugat-Dunántúl,városok,Új lakások,2021. III.,32.1
Nyugat-Dunántúl,városok,Új lakások,2021. IV.,36.9
Nyugat-Dunántúl,városok,Új lakások,2022. I.,40.9
Nyugat-Dunántúl,városok,Új lakások,2022. II.,35.3
Nyugat-Dunántúl,városok,Új lakások,2022. III.,35.7
Nyugat-Dunántúl,városok,Új lakások,2022. IV.,35.9
Nyugat-Dunántúl,városok,Új lakások,2023. I.,..
Nyugat-Dunántúl,városok,Új lakások,2023. II.,40
Nyugat-Dunántúl,városok,Új lakások,2023. III.,47.1
Nyugat-Dunántúl,városok,Új lakások,2023. IV.,37.5
Nyugat-Dunántúl,városok,Új lakások,2024. I.,37.5
Nyugat-Dunántúl,városok,Új lakások,2024. II.,37.8
Nyugat-Dunántúl,városok,Új lakások,2024. III.,..
Nyugat-Dunántúl,városok,Új lakások,2024. IV.,46.1
Nyugat-Dunántúl,városok,Új lakások,2025. I.,45.6
Nyugat-Dunántúl,városok,Új lakások,2025. II.,46.6
Nyugat-Dunántúl,városok,Új lakások,2025. III.,61.3
Nyugat-Dunántúl,városok,Új lakások,2025. IV.,..
Nyugat-Dunántúl,községek,Új lakások,2021. I.,37.9
Nyugat-Dunántúl,községek,Új lakások,2021. II.,38.4
Nyugat-Dunántúl,községek,Új lakások,2021. III.,36
Nyugat-Dunántúl,községek,Új lakások,2021. IV.,40.4
Nyugat-Dunántúl,községek,Új lakások,2022. I.,45.7
Nyugat-Dunántúl,községek,Új lakások,2022. II.,..
Nyugat-Dunántúl,községek,Új lakások,2022. III.,..
Nyugat-Dunántúl,községek,Új lakások,2022. IV.,..
Nyugat-Dunántúl,községek,Új lakások,2023. I.,..
Nyugat-Dunántúl,községek,Új lakások,2023. II.,..
Nyugat-Dunántúl,községek,Új lakások,2023. III.,..
Nyugat-Dunántúl,községek,Új lakások,2023. IV.,..
Nyugat-Dunántúl,községek,Új lakások,2024. I.,..
Nyugat-Dunántúl,községek,Új lakások,2024. II.,66.1
Nyugat-Dunántúl,községek,Új lakások,2024. III.,..
Nyugat-Dunántúl,községek,Új lakások,2024. IV.,..
Nyugat-Dunántúl,községek,Új lakások,2025. I.,..
Nyugat-Dunántúl,községek,Új lakások,2025. II.,..
Nyugat-Dunántúl,községek,Új lakások,2025. III.,72.9
Nyugat-Dunántúl,községek,Új lakások,2025. IV.,..
Nyugat-Dunántúl,együtt,Új lakások,2021. I.,31.5
Nyugat-Dunántúl,együtt,Új lakások,2021. II.,32
Nyugat-Dunántúl,együtt,Új lakások,2021. III.,32
Nyugat-Dunántúl,együtt,Új lakások,2021. IV.,35.3
Nyugat-Dunántúl,együtt,Új lakások,2022. I.,42.2
Nyugat-Dunántúl,együtt,Új lakások,2022. II.,39.2
Nyugat-Dunántúl,együtt,Új lakások,2022. III.,36.2
Nyugat-Dunántúl,együtt,Új lakások,2022. IV.,38.9
Nyugat-Dunántúl,együtt,Új lakások,2023. I.,44.6
Nyugat-Dunántúl,együtt,Új lakások,2023. II.,43.2
Nyugat-Dunántúl,együtt,Új lakások,2023. III.,46.5
Nyugat-Dunántúl,együtt,Új lakások,2023. IV.,41.4
Nyugat-Dunántúl,együtt,Új lakások,2024. I.,44.5
Nyugat-Dunántúl,együtt,Új lakások,2024. II.,52.2
Nyugat-Dunántúl,együtt,Új lakások,2024. III.,52.6
Nyugat-Dunántúl,együtt,Új lakások,2024. IV.,54.6
Nyugat-Dunántúl,együtt,Új lakások,2025. I.,53.9
Nyugat-Dunántúl,együtt,Új lakások,2025. II.,57.3
Nyugat-Dunántúl,együtt,Új lakások,2025. III.,61
Nyugat-Dunántúl,együtt,Új lakások,2025. IV.,62.3
Dél-Dunántúl,vármegyeszékhely,Új lakások,2021. I.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2021. II.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2021. III.,31.7
Dél-Dunántúl,vármegyeszékhely,Új lakások,2021. IV.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2022. I.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2022. II.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2022. III.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2022. IV.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2023. I.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2023. II.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2023. III.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2023. IV.,52.8
Dél-Dunántúl,vármegyeszékhely,Új lakások,2024. I.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2024. II.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2024. III.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2024. IV.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2025. I.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2025. II.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2025. III.,..
Dél-Dunántúl,vármegyeszékhely,Új lakások,2025. IV.,..
Dél-Dunántúl,városok,Új lakások,2021. I.,45.4
Dél-Dunántúl,városok,Új lakások,2021. II.,46.1
Dél-Dunántúl,városok,Új lakások,2021. III.,36.3
Dél-Dunántúl,városok,Új lakások,2021. IV.,53.7
Dél-Dunántúl,városok,Új lakások,2022. I.,53.9
Dél-Dunántúl,városok,Új lakások,2022. II.,59.7
Dél-Dunántúl,városok,Új lakások,2022. III.,62.4
Dél-Dunántúl,városok,Új lakások,2022. IV.,54.1
Dél-Dunántúl,városok,Új lakások,2023. I.,43.4
Dél-Dunántúl,városok,Új lakások,2023. II.,66
Dél-Dunántúl,városok,Új lakások,2023. III.,68.6
Dél-Dunántúl,városok,Új lakások,2023. IV.,61.2
Dél-Dunántúl,városok,Új lakások,2024. I.,65.8
Dél-Dunántúl,városok,Új lakások,2024. II.,80.6
Dél-Dunántúl,városok,Új lakások,2024. III.,70.9
Dél-Dunántúl,városok,Új lakások,2024. IV.,84.8
Dél-Dunántúl,városok,Új lakások,2025. I.,77.3
Dél-Dunántúl,városok,Új lakások,2025. II.,86.7
Dél-Dunántúl,városok,Új lakások,2025. III.,88.4
Dél-Dunántúl,városok,Új lakások,2025. IV.,75.1
Dél-Dunántúl,községek,Új lakások,2021. I.,..
Dél-Dunántúl,községek,Új lakások,2021. II.,..
Dél-Dunántúl,községek,Új lakások,2021. III.,..
Dél-Dunántúl,községek,Új lakások,2021. IV.,..
Dél-Dunántúl,községek,Új lakások,2022. I.,..
Dél-Dunántúl,községek,Új lakások,2022. II.,..
Dél-Dunántúl,községek,Új lakások,2022. III.,..
Dél-Dunántúl,községek,Új lakások,2022. IV.,..
Dél-Dunántúl,községek,Új lakások,2023. I.,..
Dél-Dunántúl,községek,Új lakások,2023. II.,..
Dél-Dunántúl,községek,Új lakások,2023. III.,..
Dél-Dunántúl,községek,Új lakások,2023. IV.,..
Dél-Dunántúl,községek,Új lakások,2024. I.,..
Dél-Dunántúl,községek,Új lakások,2024. II.,..
Dél-Dunántúl,községek,Új lakások,2024. III.,..
Dél-Dunántúl,községek,Új lakások,2024. IV.,..
Dél-Dunántúl,községek,Új lakások,2025. I.,..
Dél-Dunántúl,községek,Új lakások,2025. II.,..
Dél-Dunántúl,községek,Új lakások,2025. III.,..
Dél-Dunántúl,községek,Új lakások,2025. IV.,..
Dél-Dunántúl,együtt,Új lakások,2021. I.,43.1
Dél-Dunántúl,együtt,Új lakások,2021. II.,42.6
Dél-Dunántúl,együtt,Új lakások,2021. III.,36
Dél-Dunántúl,együtt,Új lakások,2021. IV.,43.4
Dél-Dunántúl,együtt,Új lakások,2022. I.,49.5
Dél-Dunántúl,együtt,Új lakások,2022. II.,54.5
Dél-Dunántúl,együtt,Új lakások,2022. III.,56.5
Dél-Dunántúl,együtt,Új lakások,2022. IV.,47.8
Dél-Dunántúl,együtt,Új lakások,2023. I.,46.8
Dél-Dunántúl,együtt,Új lakások,2023. II.,63.7
Dél-Dunántúl,együtt,Új lakások,2023. III.,62.6
Dél-Dunántúl,együtt,Új lakások,2023. IV.,57.5
Dél-Dunántúl,együtt,Új lakások,2024. I.,63.5
Dél-Dunántúl,együtt,Új lakások,2024. II.,71.1
Dél-Dunántúl,együtt,Új lakások,2024. III.,68.7
Dél-Dunántúl,együtt,Új lakások,2024. IV.,77.8
Dél-Dunántúl,együtt,Új lakások,2025. I.,78.1
Dél-Dunántúl,együtt,Új lakások,2025. II.,79.2
Dél-Dunántúl,együtt,Új lakások,2025. III.,80.5
Dél-Dunántúl,együtt,Új lakások,2025. IV.,73.9
Észak-Magyarország,vármegyeszékhely,Új lakások,2021. I.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2021. II.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2021. III.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2021. IV.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2022. I.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2022. II.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2022. III.,35.9
Észak-Magyarország,vármegyeszékhely,Új lakások,2022. IV.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2023. I.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2023. II.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2023. III.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2023. IV.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2024. I.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2024. II.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2024. III.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2024. IV.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2025. I.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2025. II.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2025. III.,..
Észak-Magyarország,vármegyeszékhely,Új lakások,2025. IV.,..
Észak-Magyarország,városok,Új lakások,2021. I.,..
Észak-Magyarország,városok,Új lakások,2021. II.,31.8
Észak-Magyarország,városok,Új lakások,2021. III.,..
Észak-Magyarország,városok,Új lakások,2021. IV.,27.1
Észak-Magyarország,városok,Új lakások,2022. I.,..
Észak-Magyarország,városok,Új lakások,2022. II.,..
Észak-Magyarország,városok,Új lakások,2022. III.,..
Észak-Magyarország,városok,Új lakások,2022. IV.,..
Észak-Magyarország,városok,Új lakások,2023. I.,..
Észak-Magyarország,városok,Új lakások,2023. II.,..
Észak-Magyarország,városok,Új lakások,2023. III.,..
Észak-Magyarország,városok,Új lakások,2023. IV.,..
Észak-Magyarország,városok,Új lakások,2024. I.,..
Észak-Magyarország,városok,Új lakások,2024. II.,..
Észak-Magyarország,városok,Új lakások,2024. III.,..
Észak-Magyarország,városok,Új lakások,2024. IV.,..
Észak-Magyarország,városok,Új lakások,2025. I.,..
Észak-Magyarország,városok,Új lakások,2025. II.,..
Észak-Magyarország,városok,Új lakások,2025. III.,..
Észak-Magyarország,városok,Új lakások,2025. IV.,..
Észak-Magyarország,községek,Új lakások,2021. I.,..
Észak-Magyarország,községek,Új lakások,2021. II.,..
Észak-Magyarország,községek,Új lakások,2021. III.,..
Észak-Magyarország,községek,Új lakások,2021. IV.,..
Észak-Magyarország,községek,Új lakások,2022. I.,..
Észak-Magyarország,községek,Új lakások,2022. II.,..
Észak-Magyarország,községek,Új lakások,2022. III.,..
Észak-Magyarország,községek,Új lakások,2022. IV.,..
Észak-Magyarország,községek,Új lakások,2023. I.,..
Észak-Magyarország,községek,Új lakások,2023. II.,..
Észak-Magyarország,községek,Új lakások,2023. III.,..
Észak-Magyarország,községek,Új lakások,2023. IV.,..
Észak-Magyarország,községek,Új lakások,2024. I.,..
Észak-Magyarország,községek,Új lakások,2024. II.,..
Észak-Magyarország,községek,Új lakások,2024. III.,..
Észak-Magyarország,községek,Új lakások,2024. IV.,..
Észak-Magyarország,községek,Új lakások,2025. I.,..
Észak-Magyarország,községek,Új lakások,2025. II.,..
Észak-Magyarország,községek,Új lakások,2025. III.,..
Észak-Magyarország,községek,Új lakások,2025. IV.,..
Észak-Magyarország,együtt,Új lakások,2021. I.,33.5
Észak-Magyarország,együtt,Új lakások,2021. II.,32.1
Észak-Magyarország,együtt,Új lakások,2021. III.,29.9
Észak-Magyarország,együtt,Új lakások,2021. IV.,31.8
Észak-Magyarország,együtt,Új lakások,2022. I.,36.1
Észak-Magyarország,együtt,Új lakások,2022. II.,38.2
Észak-Magyarország,együtt,Új lakások,2022. III.,37.2
Észak-Magyarország,együtt,Új lakások,2022. IV.,..
Észak-Magyarország,együtt,Új lakások,2023. I.,..
Észak-Magyarország,együtt,Új lakások,2023. II.,..
Észak-Magyarország,együtt,Új lakások,2023. III.,..
Észak-Magyarország,együtt,Új lakások,2023. IV.,..
Észak-Magyarország,együtt,Új lakások,2024. I.,..
Észak-Magyarország,együtt,Új lakások,2024. II.,..
Észak-Magyarország,együtt,Új lakások,2024. III.,..
Észak-Magyarország,együtt,Új lakások,2024. IV.,44.1
Észak-Magyarország,együtt,Új lakások,2025. I.,..
Észak-Magyarország,együtt,Új lakások,2025. II.,..
Észak-Magyarország,együtt,Új lakások,2025. III.,..
Észak-Magyarország,együtt,Új lakások,2025. IV.,..
Észak-Alföld,vármegyeszékhely,Új lakások,2021. I.,33.4
Észak-Alföld,vármegyeszékhely,Új lakások,2021. II.,38.4
Észak-Alföld,vármegyeszékhely,Új lakások,2021. III.,41.7
Észak-Alföld,vármegyeszékhely,Új lakások,2021. IV.,41.6
Észak-Alföld,vármegyeszékhely,Új lakások,2022. I.,44.8
Észak-Alföld,vármegyeszékhely,Új lakások,2022. II.,43.7
Észak-Alföld,vármegyeszékhely,Új lakások,2022. III.,39.8
Észak-Alföld,vármegyeszékhely,Új lakások,2022. IV.,44.2
Észak-Alföld,vármegyeszékhely,Új lakások,2023. I.,45.8
Észak-Alföld,vármegyeszékhely,Új lakások,2023. II.,53.6
Észak-Alföld,vármegyeszékhely,Új lakások,2023. III.,44.5
Észak-Alföld,vármegyeszékhely,Új lakások,2023. IV.,48.4
Észak-Alföld,vármegyeszékhely,Új lakások,2024. I.,55.6
Észak-Alföld,vármegyeszékhely,Új lakások,2024. II.,53.3
Észak-Alföld,vármegyeszékhely,Új lakások,2024. III.,53.3
Észak-Alföld,vármegyeszékhely,Új lakások,2024. IV.,63.9
Észak-Alföld,vármegyeszékhely,Új lakások,2025. I.,63.9
Észak-Alföld,vármegyeszékhely,Új lakások,2025. II.,67.1
Észak-Alföld,vármegyeszékhely,Új lakások,2025. III.,58
Észak-Alföld,vármegyeszékhely,Új lakások,2025. IV.,64.5
Észak-Alföld,városok,Új lakások,2021. I.,..
Észak-Alföld,városok,Új lakások,2021. II.,..
Észak-Alföld,városok,Új lakások,2021. III.,..
Észak-Alföld,városok,Új lakások,2021. IV.,..
Észak-Alföld,városok,Új lakások,2022. I.,..
Észak-Alföld,városok,Új lakások,2022. II.,..
Észak-Alföld,városok,Új lakások,2022. III.,27.6
Észak-Alföld,városok,Új lakások,2022. IV.,..
Észak-Alföld,városok,Új lakások,2023. I.,..
Észak-Alföld,városok,Új lakások,2023. II.,..
Észak-Alföld,városok,Új lakások,2023. III.,..
Észak-Alföld,városok,Új lakások,2023. IV.,..
Észak-Alföld,városok,Új lakások,2024. I.,..
Észak-Alföld,városok,Új lakások,2024. II.,..
Észak-Alföld,városok,Új lakások,2024. III.,..
